NOM,MONTANT_2016,MONTANT_2018,TX_EVOL,ADRESSE,LATITUDE,LONGITUDE
CAVE POESIE DE TOULOUSE ASSOC,91900.0,6500.0,-0.9292709466811752,"71, rue du Taur, 31000 Toulouse",43.607184499999995,1.4421078999999999
RADIO CAMPUS TOULOUSE MIDI PYRENEES ASSOC,5001.0,2000.0,-0.6000799840031994,"118, route de Narbonne, 31077 Toulouse",43.5615654,1.4630301000000001
TA ASSOC,5100.0,1000.0,-0.803921568627451,"32, Rue des Jumeaux, 31200 Toulouse",43.615820899999996,1.4495651000000003
THEATRE DU PAVE ASSOC,191520.0,22032.0,-0.8849624060150376,"34, rue Maran, 31400 Toulouse",43.580969,1.447619
THEATRE GARONNE ASSOC,768000.0,31656.0,-0.95878125,"1, avenue du Chateau d'eau, 31300 Toulouse",43.602843,1.425296
THEATRE POPULAIRE D AUJOURD HUI ASSOC,700000.0,22815.0,-0.9674071428571429,"35, Allées Jules Guesde, 31000 Toulouse",43.5941825,1.4491120000000002
ASSOCIATION LE PAVE,10500.0,4800.0,-0.5428571428571428,"11, impasse Saint Martory, 31100 Toulouse",43.6043,1.4437
AUDIO ET VISUEL ASSOC,20000.0,7800.0,-0.61,"12, Rue Jean Gilles, 31100 Toulouse",43.572581,1.402463
LES TOULOUSAINS DE TOULOUSE ET AMIS DU VIEUX TOULOUSE ASSOC,25000.0,5000.0,-0.8,"7, rue du May, 31000 TOULOUSE",43.602261,1.443131
SPORTIVE MURET TOULOUSE HANDISPORT ASSOC,10400.0,3200.0,-0.6923076923076923,"19 B Rue du Roussillon, 31100 TOULOUSE",43.574647999999996,1.412441
INSTITUT DE TECHNOLOGIE DES TRANSPORTS ET COMMUNICATIONS ASSOC,7200.0,3000.0,-0.5833333333333334,"93 Avenue Jules Julien, 31400 TOULOUSE",43.577020000000005,1.450583
JOE J OUVRE L OEIL ASSOC,3000.0,1350.0,-0.55,"5 Rue Cany, 31300 TOULOUSE",43.591602,1.43297
LA GARGOUILLE ASSOC,36800.0,15000.0,-0.592391304347826,"3 place Tel Aviv, 31100 TOULOUSE",43.564553000000004,1.397846
LE TAMBOUR ASSOC,10000.0,3000.0,-0.7,"1, rue Saint Germier, 31450 Fourquevaux",43.507416,1.618406
NATIONALE LE REFUGE ASSOC,32500.0,9000.0,-0.7230769230769231,"30 rue de Soupetard, 31033 Toulouse",43.609727,1.4714129999999999
PAR HAZ ART ASSOC,8800.0,2400.0,-0.7272727272727273,"61 Rue Saint-Jean, 31130 Balma",43.622844,1.4862389999999999
PLAN 9 ASSOC,61540.0,2500.0,-0.95937601559961,"25 Rue d'Armagnac, 31500 Toulouse",43.616908,1.456146
SEQUENCE ASSOC,11500.0,3076.0,-0.7325217391304348,"6 Rue des Chalets, 31000 Toulouse",43.611277,1.44265
CTRE D ART CHOREGRAPHIQUE POUR LE DEV DES DANSES URBAINES ASSOC,62200.0,18294.0,-0.7058842443729904,"51 bis Rue des Amidonniers, 31000 Toulouse",43.605977,1.427914
FRACTAL ASSOC,2700.0,1000.0,-0.6296296296296297,"16, Avenue Castres, 31500 Toulouse",43.669605,2.226061
LES ATELIERS MUSICAUX ASSOC,45400.0,2891.7,-0.9363061674008811,"1 Rue Quilméry, 31300 Toulouse",43.599788000000004,1.434418
LES ZAZOUS DU BIJOU ASSOC,21850.0,5000.0,-0.7711670480549199,"123 Avenue de Muret, 31300 TOULOUSE",43.58441,1.427533
TALENTS CACHES DES PRADETTES ASSOC,600.0,200.0,-0.6666666666666666,"12 Rue Julien Forgues, 31100 Toulouse",43.581082,1.388392
THEATRE LE FIL A PLOMB ASSOC,140000.0,32900.0,-0.765,"30 Rue de la Chaîne, 31000 Toulouse",43.609426,1.439217
50 CINQ ASSOCIATION,87500.0,7390.0,-0.9155428571428571,"55, avenue Louis Breguet, 31400 Toulouse",43.577352000000005,1.478643
ROTATION ASSOC,25000.0,11520.0,-0.5392,"11 rue des cheminots , 31500 Toulouse",43.614734000000006,1.454385
