QUARTIER,POPULATION TOTALE,LATITUDE,LONGITUDE,CSP,NB_HAB
SAINT-GEORGES,3379.4401279589997,43.6033446246,1.44816584645,CSP+,1038.123564542
SAINT-AUBIN - DUPUY,7753.588089173001,43.6026477041,1.453756664,CSP+,2337.82685021111
PATTE D'OIE,8858.84226887,43.5981224276,1.42471507963,CSP+,1994.662617086966
PAPUS,4050.670251895,43.5728781301,1.41537493977,CSP+,323.52520237004
FONTAINE-LESTANG,2228.806471023,43.5843782291,1.41961410897,CSP+,426.8169672043
ARENES,3954.838435547,43.5910945372,1.41897810436,CSP+,881.0146254337401
BARRIERE-DE-PARIS,8770.617080080001,43.63357476,1.43010700183,CSP+,1829.06451938695
GRAMONT,975.391510163,43.6388151829,1.48324009606,CSP+,199.70678386729998
ROSERAIE,7593.81833764,43.6263301962,1.46844795716,CSP+,1535.5390617025998
JUNCASSE - ARGOULETS,5704.49515651,43.6165892108,1.47629936197,CSP+,942.3178621899999
LA TERRASSE,5889.26157407,43.5840216111,1.48508530918,CSP+,1434.88053579453
ZONES D'ACTIVITES SUD,706.03804862,43.5540170114,1.41678405499,CSP+,106.804901913
REYNERIE,5214.055592354,43.5703225986,1.39973906829,CSP+,239.77094121204
MIRAIL-UNIVERSITE,2626.480009764,43.5782652453,1.40167764417,CSP+,142.28857448739998
LES PRADETTES,4712.327412539,43.5823273657,1.39003097476,CSP+,832.1935284079999
LE BUSCA,7590.24104467,43.5907159742,1.45407208147,CSP+,2482.351065387
RAMIER,786.7685527531,43.5815839869,1.43382529081,CSP+,32.8302922833
GUILHEMERY,10386.974317350001,43.6025734884,1.46613995386,CSP+,2925.6262123478
PONT-DES-DEMOISELLES,7933.01057113,43.58265194,1.4692933284,CSP+,2027.67314119294
CASSELARDIT,10781.56087792,43.6003944758,1.40936334348,CSP+,2470.71979464397
ARNAUD BERNARD,6757.35496475,43.607587822,1.43979368004,CSP+,1691.2975211330001
SAINT-ETIENNE,4151.966449155,43.5971131627,1.44827757098,CSP+,1474.41634179037
AMIDONNIERS,5735.352107858001,43.6062858201,1.42339702287,CSP+,1769.764037598
MARENGO - JOLIMONT,9727.78740584,43.6117583769,1.46190401897,CSP+,2300.2694139053
COTE PAVEE,9264.62800684,43.5930757136,1.46932064658,CSP+,3008.4498807146
SAUZELONG - RANGUEIL,8298.33223083,43.5791097556,1.45915760009,CSP+,1922.8822224491
JULES JULIEN,2775.7705113380002,43.5751727591,1.45209461034,CSP+,612.70839361913
BAGATELLE,3667.267476321,43.5822089193,1.41005098694,CSP+,183.0137152354
