QUARTIER,POPULATION TOTALE,LATITUDE,LONGITUDE,SEXE,NB_HAB
SAINT-GEORGES,3379.4401279589997,43.6033446246,1.44816584645,HOMMES,1600.762331516
SAINT-AUBIN - DUPUY,7753.588089173001,43.6026477041,1.453756664,HOMMES,3757.349049338
PATTE D'OIE,8858.84226887,43.5981224276,1.42471507963,HOMMES,3935.521595755
PAPUS,4050.670251895,43.5728781301,1.41537493977,HOMMES,1817.7727464010002
FONTAINE-LESTANG,2228.806471023,43.5843782291,1.41961410897,HOMMES,1104.7641660900001
ARENES,3954.838435547,43.5910945372,1.41897810436,HOMMES,1941.2389151109999
BARRIERE-DE-PARIS,8770.617080080001,43.63357476,1.43010700183,HOMMES,4314.397626091
GRAMONT,975.391510163,43.6388151829,1.48324009606,HOMMES,611.7707819965001
ROSERAIE,7593.81833764,43.6263301962,1.46844795716,HOMMES,3627.520822161
JUNCASSE - ARGOULETS,5704.49515651,43.6165892108,1.47629936197,HOMMES,2606.01995662
LA TERRASSE,5889.26157407,43.5840216111,1.48508530918,HOMMES,2630.093682314
ZONES D'ACTIVITES SUD,706.03804862,43.5540170114,1.41678405499,HOMMES,408.6694486677
REYNERIE,5214.055592354,43.5703225986,1.39973906829,HOMMES,2569.5034812080003
MIRAIL-UNIVERSITE,2626.480009764,43.5782652453,1.40167764417,HOMMES,1103.2005580169998
LES PRADETTES,4712.327412539,43.5823273657,1.39003097476,HOMMES,2332.174718153
LE BUSCA,7590.24104467,43.5907159742,1.45407208147,HOMMES,3610.858476406
RAMIER,786.7685527531,43.5815839869,1.43382529081,HOMMES,400.520680061
GUILHEMERY,10386.974317350001,43.6025734884,1.46613995386,HOMMES,4902.651021754
PONT-DES-DEMOISELLES,7933.01057113,43.58265194,1.4692933284,HOMMES,3844.431675158
CASSELARDIT,10781.56087792,43.6003944758,1.40936334348,HOMMES,5073.481659444999
ARNAUD BERNARD,6757.35496475,43.607587822,1.43979368004,HOMMES,3259.472133288
SAINT-ETIENNE,4151.966449155,43.5971131627,1.44827757098,HOMMES,1897.458703312
AMIDONNIERS,5735.352107858001,43.6062858201,1.42339702287,HOMMES,2772.587308047
MARENGO - JOLIMONT,9727.78740584,43.6117583769,1.46190401897,HOMMES,4660.567185559
COTE PAVEE,9264.62800684,43.5930757136,1.46932064658,HOMMES,4334.002050565
SAUZELONG - RANGUEIL,8298.33223083,43.5791097556,1.45915760009,HOMMES,3821.842063993
JULES JULIEN,2775.7705113380002,43.5751727591,1.45209461034,HOMMES,1456.952407765
BAGATELLE,3667.267476321,43.5822089193,1.41005098694,HOMMES,1823.606381856
GINESTOUS,736.876123353,43.644969534,1.41306195552,HOMMES,313.295738941
LALANDE,9132.670950418,43.6529517507,1.43461798789,HOMMES,4501.7844303990005
CROIX-DAURADE,21285.04642504,43.640852425,1.45772918594,HOMMES,9870.41702415
LA FOURGUETTE,4451.788271085,43.5629079932,1.41078954004,HOMMES,2265.226680929
SAINT-SIMON,6897.06002169,43.5575428976,1.37851791718,HOMMES,3287.915220618
BASSO-CAMBO,2272.43400404,43.5734940995,1.37932901549,HOMMES,1250.1596608552
CAPITOLE,5103.689668669,43.6022244026,1.44055171361,HOMMES,2450.192417421
COMPANS,6534.325570423,43.6107166746,1.43016543261,HOMMES,2910.6193906060003
